c,gamma
1.00E-03,0.001
1.00E-03,0.01
1.00E-03,0.1
1.00E-03,1
1.00E-03,10
1.00E-02,0.001
1.00E-02,0.01
1.00E-02,0.1
1.00E-02,1
1.00E-02,10
1.00E-01,0.001
1.00E-01,0.01
1.00E-01,0.1
1.00E-01,1
1.00E-01,10
1.00E+00,0.001
1.00E+00,0.01
1.00E+00,0.1
1.00E+00,1
1.00E+00,10
1.00E+01,0.001
1.00E+01,0.01
1.00E+01,0.1
1.00E+01,1
1.00E+01,10
