c
0.1
0.17
0.289
0.4913
0.83521
1.419857
2.4137569
4.10338673
6.975757441
11.85878765
20.159939
34.27189631
58.26222372
99.04578033
168.3778266
286.2423052
486.6119188
827.2402619
