c,gamma
3.10E+00,0.06
3.20E+00,0.06
3.30E+00,0.06
3.40E+00,0.06
3.50E+00,0.06
3.60E+00,0.06
3.70E+00,0.06
3.80E+00,0.06
3.90E+00,0.06
4.10E+00,0.06
4.20E+00,0.06
4.30E+00,0.06
4.40E+00,0.06
4.50E+00,0.06
4.60E+00,0.06
4.70E+00,0.06
4.80E+00,0.06
4.90E+00,0.06
5.10E+00,0.06
5.20E+00,0.06
5.30E+00,0.06
5.40E+00,0.06
5.50E+00,0.06
5.60E+00,0.06
5.70E+00,0.06
,
,
,
,
,
