c,gamma
10,0.05
10,0.06
10,0.07
10,0.08
10,0.09
10,0.11
10,0.12
10,0.13
10,0.14
10,0.15
6.00E+00,0.1
7.00E+00,0.1
8.00E+00,0.1
9.00E+00,0.1
1.10E+01,0.1
1.20E+01,0.1
1.30E+01,0.1
1.40E+01,0.1
1.50E+01,0.1
1.60E+01,0.1
1.70E+01,0.1
1.80E+01,0.1
1.90E+01,0.1
2.00E+01,0.1
5.00E+01,0.1
1.00E+02,0.1
